player_id,name,height,weight,team,position,team_id
1630322,Lindy Waters III,6-6,210.0,SAS,Forward,1610612759.0
1630570,Trendon Watford,6-8,237.0,PHI,Guard-Forward,1610612755.0
1641817,Anton Watson,6-8,225.0,NYK,Forward,1610612752.0
1631212,Peyton Watson,6-7,200.0,DEN,Guard,1610612743.0
1642377,Jaylen Wells,6-8,,MEM,Forward,1610612763.0
1641705,Victor Wembanyama,7-3,235.0,SAS,Forward-Center,1610612759.0
1631104,Blake Wesley,6-3,185.0,POR,Guard,1610612757.0
201566,Russell Westbrook,6-4,200.0,DEN,Guard,1610612743.0
1630762,Phillip Wheeler,6-8,185.0,,Forward,
1629632,Coby White,6-5,195.0,CHI,Guard,1610612741.0
1628401,Derrick White,6-4,190.0,BOS,Guard,1610612738.0
1641727,Dariq Whitehead,6-6,220.0,BKN,Guard-Forward,1610612751.0
1641715,Cam Whitmore,6-7,230.0,WAS,Forward,1610612764.0
1630598,Aaron Wiggins,6-5,190.0,OKC,Guard,1610612760.0
203952,Andrew Wiggins,6-7,197.0,MIA,Forward,1610612748.0
1631214,Alondes Williams,6-4,210.0,,Guard,
1630314,Brandon Williams,6-1,190.0,DAL,Guard,1610612742.0
1642262,Cody Williams,6-7,190.0,UTA,Forward,1610612762.0
1629684,Grant Williams,6-6,236.0,CHA,Forward,1610612766.0
1631114,Jalen Williams,6-5,211.0,OKC,Guard-Forward,1610612760.0
1631119,Jaylin Williams,6-9,240.0,OKC,Forward,1610612760.0
1629026,Kenrich Williams,6-6,210.0,OKC,Guard-Forward,1610612760.0
1631109,Mark Williams,7-0,240.0,PHX,Center,1610612756.0
1631466,Nate Williams,6-5,205.0,HOU,Guard,1610612745.0
1630172,Patrick Williams,6-7,215.0,CHI,Forward,1610612741.0
1630533,Ziaire Williams,6-9,185.0,BKN,Forward,1610612751.0
1629057,Robert Williams III,6-9,249.0,POR,Center-Forward,1610612757.0
1631246,Vince Williams Jr.,6-4,205.0,MEM,Guard,1610612763.0
1629627,Zion Williamson,6-6,284.0,NOP,Forward,1610612740.0
1630592,Jalen Wilson,6-6,220.0,BKN,Forward,1610612751.0
1630164,James Wiseman,6-11,240.0,IND,Center,1610612754.0
1631209,Isaiah Wong,6-3,185.0,,Guard,
1626153,Delon Wright,6-5,185.0,NYK,Guard,1610612752.0
1627824,Guerschon Yabusele,6-8,265.0,NYK,Forward,1610612752.0
1642385,Cui Yongxi,6-5,190.0,,Forward,
1642443,Jahmir Young,6-1,185.0,CHI,Guard,1610612741.0
1629027,Trae Young,6-1,164.0,ATL,Guard,1610612737.0
1627826,Ivica Zubac,7-0,240.0,LAC,Center,1610612746.0
1641783,Tristan da Silva,6-8,217.0,ORL,Forward,1610612753.0
1628427,Vlatko Čančar,6-8,236.0,DEN,Forward,1610612743.0
203967,Dario Šarić,6-10,225.0,SAC,Forward-Center,1610612758.0
